,car.coverage.better-performance-guarantee,Besserleistungsgarantie bzgl. Vorversicherungsvertrag - KH,"better performance guarantee w.r.t. to the previous 
insurance",,-,-,nicht enthalten,not included,-,-,nicht enthalten,not included,,nein,-,-,enthalten,included
,car.coverage.assistance.yes,Kfz-Schutzbrief,Assistance,E.1.4,-,-,enthalten / nicht enthalten,included / not included,-,-,enthalten / nicht enthalten,included / not included,no / no ,ja,-,-,enthalten / nicht enthalten,included / not included
,car.coverage.environmental-damage,Ansprüche nach dem Umweltschadengesetz,Claims under the Environmental Damage Act,missing,100.000.000 €,-,bis zu 100.000.000 €,up to 100.000.000 €,-,-,bis zu 100.000.000 €,up to 100.000.000 €,,ja,100.000.000 €,-,bis zu 100.000.000 €,up to 100.000.000 €
"Teilkasko (TK)  
/ Partial Comprehensive",car.coverage.animal-bites,Schäden durch Tierbiss und Folgeschäden,Damages caused by animal bites,A.2.2.1.6,3.000€,Ded-TK,bis zu 3.000 €,up to 3.000 €,-,Ded-TK,bis zum Fahrzeugwert,up to the vehicle value,,ja,-,Ded-TK,bis zum Fahrzeugwert,up to the vehicle value
,car.coverage.short-circuit,Kurzschlussschäden an der Verkabelung und Folgeschäden,short circuit damage,A.2.2.1.7,3.000€,Ded-TK,bis zu 3.000 €,up to 3.000 €,5.000 €,Ded-TK,bis zu 5.000 €,up to 5.000 €,,ja,5.000 €,Ded-TK,bis zu 5.000 €,up to 5.000 €
,car.coverage.gross-negligence,Verzicht auf Einwand bei grober Fahrlässigkeit,Waiver of objection in case of gross negligence ,A.2.9.1,-,Ded-TK,nicht enthalten,not included,-,Ded-TK,"enthalten, bis zum Fahrzeugwert","included, up to the vehicle value",,nein,-,Ded-TK,"enthalten, bis zum Fahrzeugwert","included, up to the vehicle value"
,car.coverage.special-equipment,Absicherung von Sonderausstattung (z.B. Navi),Protection of special equipment,A.2.1.2.2,5.000 €,Ded-TK,bis zu 5.000 €,up to 5.000 €,5.000 €,Ded-TK,bis zu 5.000 €,up to 5.000 €,,ja,5.000 €,Ded-TK,bis zu 5.000 €,up to 5.000 €
,car.coverage.part-replacement.deductible,Ersatz alter Teile durch neue ohne Abzug,replacement of parts without deduction,A.2.5.2.4,-,-,enthalten,included,-,-,enthalten,included,,nein,-,-,enthalten,included
,car.coverage.elemental,Elementarschäden,Elemental Damages,A.2.2.1.3,-,Ded-TK,bis zum Fahrzeugwert,up to the vehicle value,-,Ded-TK,bis zum Fahrzeugwert,up to the vehicle value,,ja,-,Ded-TK,bis zum Fahrzeugwert,up to the vehicle value
,car.coverage.elemental-extended,Erweiterte Deckung von Elementarschäden,Extended Elemental Damages,A.2.2.1.3 ,-,Ded-TK,bis zum Fahrzeugwert,up to the vehicle value,-,Ded-TK,bis zum Fahrzeugwert,up to the vehicle value,,,-,Ded-TK,bis zum Fahrzeugwert,up to the vehicle value
,car.coverage.garage-binding.yes,Werkstattbindung,Garage Binding,A.2.5.2.2,-,-,enthalten,included,-,-,nicht enthalten,not included,,ja,-,-,nicht enthalten,not included
,car.coverage.animal-damage-protection,Zusammenstoß mit Tieren,Animal Damage Protection,A.2.2.1.4,-,Ded-TK,"alle Tiere, bis zum Fahrzeugwert","all animals, up to the vehicle value",-,Ded-TK,"alle Tiere, bis zum Fahrzeugwert","all animals, up to the vehicle value",,ja (wichtig: Alle Tiere enthalten),-,Ded-TK,"alle Tiere, bis zum Fahrzeugwert","all animals, up to the vehicle value"
,car.coverage.glass-deduction.yes,Verzicht auf Selbstbehalt bei Reparatur des  Glasbruchschadens,glass repair coverage without deduction,A.2.5.8,-,-,enthalten,included,-,-,enthalten,included,,ja (zusammen mit Glasbruch Austausch),-,-,enthalten,included
,car.coverage.refund-purchase-price,Erstattung Kaufpreis (rel. Für Gebrauchtwagen),refund of purchase price,A.2.5.1.4,-,-,nicht enthalten,not included,-,-,bis zu 24 Monate Fahrzeugalter bei Totalschaden oder Diebstahl,up to 24 month in case of total damage or theft,,ja (zusammen mit Neupreiserstattung) ,-,-,bis zu 24 Monate Fahrzeugalter bei Totalschaden oder Diebstahl,up to 24 month in case of total damage or theft
,car.coverage.registration-transfer-costs,Zulassungs- u. Überführungskosten bei Neuwertentschädigung Pkw,registration and transfer costs,A.2.5.7.1,-,Ded-TK,enthalten,included,-,Ded-TK,enthalten,included,,ja (zusammenfassen),-,Ded-TK,enthalten,included
,car.coverage.recycling-costs,Entsorgungs- u. Resteverwertungskosten bei Totalschaden Pkw,recycling cost In case of total loss,A.2.5.7.2,-,Ded-TK,enthalten,included,-,Ded-TK,enthalten,included,,,-,Ded-TK,enthalten,included
,car.coverage.replacement-operating-materials,Ersatz von Brems- und Betriebsstoffen bei Pkw-Reparatur,replacement of operating materials,A.2.5.2.1,-,Ded-TK,enthalten,included,-,Ded-TK,enthalten,included,,,-,Ded-TK,enthalten,included
,car.coverage.compensation-new-value,Neuwertentschädigung (rel. für Neuwagen),compensation new vehicle value,A.2.5.1.2,-,-,nicht enthalten,not included,-,-,bis zu 24 Monate Fahrzeugalter,up to 24 month,,ja(zusammenfassen mit Erstattung Kaufpreis),-,-,bis zu 24 Monate Fahrzeugalter,up to 24 month
,car.coverage.fire-and-explosion,Brand und Explosion,fire and explosion,A.2.2.1.1,-,Ded-TK,bis zum Fahrzeugwert,up to the vehicle value,-,Ded-TK,bis zum Fahrzeugwert,up to the vehicle value,,ja ,-,Ded-TK,bis zum Fahrzeugwert,up to the vehicle value
,car.coverage.glass,Glasbruch bei Austausch ,glass damage,A.2.2.1.5,-,Ded-TK,bis zum Fahrzeugwert,up to the vehicle value,-,Ded-TK,bis zum Fahrzeugwert,up to the vehicle value,,ja (zusammenfassen mit Glasbruch Reparatur) ,-,Ded-TK,bis zum Fahrzeugwert,up to the vehicle value
,car.coverage.theft-and-robbery,Diebstahl und Raub ,theft and robbery,A.2.2.1.2,-,Ded-TK,bis zum Fahrzeugwert,up to the vehicle value,-,Ded-TK,bis zum Fahrzeugwert,up to the vehicle value,,ja,-,Ded-TK,bis zum Fahrzeugwert,up to the vehicle value
,car.coverage.better-performance-guarantee,Besserleistungsgarantie bzgl. Vorversicherungsvertrag -TK,Better performance guarantee,A.2.5.6,-,-,nicht enthalten,not included,-,-,nicht enthalten,not included,,nein,-,-,enthalten,included
,product.motor.coverage.comprehensive.partial.electric-cars.animal-bites.is-included,Hochvoltkabel werden bei Kurzschluss- und Tierbiss Schäden unabhängig von der vereinbarten Entschädigungsgrenze ersetzt,High-voltage cables are replaced in the event of short-circuit and animal bite damage regardless of the agreed compensation limit,A.2.5.6.c,-,-,enthalten,included,-,-,enthalten,included,,,-,-,erhältlich für Elektro- und Hybridfahrzeuge,included
,product.motor.coverage.comprehensive.partial.electric-cars.induction-charging-plate.is-included,Induktionsladeplatte ist mitversichert,Induction charging plate is also insured,A.2.5.6.d,1.000 €,Ded-TK,bis 1.000 € / nicht enthalten,up to 1.000 € / not included,1.000 €,Ded-TK,bis 1.000 € / nicht enthalten,up to 1.000 € / not included,,,1.000 €,Ded-TK,"erhältlich für Elektro- und Hybridfahrzeuge
bis 1.000 €",up to 1.000 € / not included
,product.motor.coverage.comprehensive.partial.electric-cars.mobile-charger.is-included,mobiles Ladegerät (tragbare Ladestation) einschließlich  dazugehörige Adapter,Mobile charger (portable charging station) including associated adapter,A.2.5.6.g,1.000 €,Ded-TK,bis zu 1.000 € / nicht enthalten,up to 1.000 € / not included,1.000 €,Ded-TK,bis zu 1.000 € / nicht enthalten,up to 1.000 € / not included,,,1.000 €,Ded-TK,"erhältlich für Elektro- und Hybridfahrzeuge
bis 1.000 €",up to 1.000 € / not included
,product.motor.coverage.comprehensive.partial.electric-cars.charging-card.is-included,Ladekarte ist mitversichert,Charging card is also insured,A.2.5.6.f,100 €,-,bis zu 100 € / nicht enthalten,up to 100 € / nicht enthalten,100 €,-,bis zu 100 € / nicht enthalten,up to 100 € / nicht enthalten,,,100 €,-,"erhältlich für Elektro- und Hybridfahrzeuge
bis 100 €",up to 100 € / nicht enthalten
,product.motor.coverage.comprehensive.partial.electric-cars-add-on.overvoltage.is-included,Überspannungs-Schäden durch Kurzschluss an  Akkumulatoren bei Elektro- und Hybrid-Pkw,Overvoltage damage due to short-circuit of accumulators in electric and hybrid passenger cars insured,A.2.5.6.c,20.000 €,Ded-TK," bis 20.000 € / nicht enthalten
","up to 20.000 € / not included
",20.000 €,Ded-TK," bis 20.000 € / nicht enthalten
","up to 20.000 € / not included
",,,20.000 €,Ded-TK,"Wenn in der vorherigen Deckung vorhanden
bis 20.000 €","up to 20.000 € / not included
"
,product.motor.coverage.comprehensive.partial.electric-cars-add-on.battery.disposal-costs.is-included,"Entsorgungskosten des Akkus nach Totalschaden, sofern  kein anderer dafür aufkommt","Disposal costs of the battery after total loss, if no one else pays for it",A.2.5.6.b,2.500 €,Ded-TK,"bis 2.500 € / nicht enthalten
","up to 2.500 € / not included
",2.500 €,Ded-TK,"bis 2.500 € / nicht enthalten
","up to 2.500 € / not included
",,,2.500 €,Ded-TK,"Wenn in der vorherigen Deckung vorhanden
bis 2.500 €","up to 2.500 € / not included
"
,product.motor.coverage.comprehensive.partial.electric-cars-add-on.charging-cable.is-included,Ladekabel einschließlich Adapter,Charging cable including adapter,A.2.5.6.e,1.000 €,Ded-TK,"bis 1.000 € / nicht enthalten
","up to 1.000 € / not included
",1.000 €,Ded-TK,"bis 1.000 € / nicht enthalten
","up to 1.000 € / not included
",,,1.000 €,Ded-TK,"Wenn in der vorherigen Deckung vorhanden
bis 1.000 €","up to 1.000 € / not included
"
,product.motor.coverage.comprehensive.partial.electric-cars-add-on.wall-charging-station.is-included,Wandladestation (Wallbox) bei fester Verbindung mit einem  Gebäude,Wall charging station (wallbox) if permanently connected to a building,A.2.5.6.h,1.000 €,Ded-TK,bis zu 1.000 € / nicht enthalten,up to 1.000 € / not included,1.000 €,Ded-TK,bis zu 1.000 € / nicht enthalten,up to 1.000 € / not included,,,1.000 €,Ded-TK,"Wenn in der vorherigen Deckung vorhanden
bis 1.000 €",up to 1.000 € / not included
,product.motor.coverage.comprehensive.partial.electric-cars-add-on.battery.new-value-compensation.is-included,Neupreisentschädigung für Akkus nach Erwerb als Neugerät,New price compensation for accumulators after purchase as new equipment,A.2.5.6.b,-,-,nicht enthalten,not included,24 Monate,Ded-TK,"enthalten / nicht enthalten
bis 24 Monate","included / not included
up to 24 months",,,24 Monate,Ded-TK,"Wenn in der vorherigen Deckung vorhanden
bis 24 Monate",up to 24 months
"Vollkasko (VK) /  
Fully Comprehensive",car.coverage.own-vehicle-self-damage,Selbst verschuldete Schäden am eigenen Fahrzeug,self caused damage own vehicle,A.2.2.2.2,-,Ded-VK,bis zum Fahrzeugwert,up to the vehicle value,-,Ded-VK,bis zum Fahrzeugwert,up to the vehicle value,,ja,-,Ded-VK,bis zum Fahrzeugwert,up to the vehicle value
,car.coverage.major-damage-using-ships,Große Havarie bei der Benutzung von Schiffen und Fähren bei Pkw in der VK,Major damage during the use of ships and ferries for passenger cars,A.2.2.2.4,-,Ded-VK,bis zum Fahrzeugwert,up to the vehicle value,-,Ded-VK,bis zum Fahrzeugwert,up to the vehicle value,,nein,-,Ded-VK,bis zum Fahrzeugwert,up to the vehicle value
,car.coverage.discount-protection,Rabattschutz,Discount Protection VK,siehe oben,-,-,enthalten / nicht enthalten,included / not included,-,-,enthalten / nicht enthalten,included / not included,no / no ,ja ( siehe oben Rabattschutz KH) ,-,-,enthalten / nicht enthalten,included / not included
,car.coverage.gap-coverage,GAP Deckung für Leasing-Fahrzeuge,GAP Coverage,A.2.5.1.5,-,-,enthalten / nicht enthalten,included / not included,-,-,enthalten / nicht enthalten,included / not included,no / no ,ja,-,-,enthalten / nicht enthalten,included / not included
,car.coverage.vandalism,Vandalismus und mutwillige Beschädigung,Vandalism Protection,A.2.2.2.3,-,Ded-VK,bis zum Fahrzeugwert,up to the vehicle value,-,Ded-VK,bis zum Fahrzeugwert,up to the vehicle value,,ja,-,Ded-VK,bis zum Fahrzeugwert,up to the vehicle value
,car.coverage.better-performance-guarantee,Besserleistungsgarantie bzgl. Vorversicherungsvertrag - VK,Better performance guarantee,A.6,-,-,nicht enthalten,not included,-,-,nicht enthalten,not included,,nein,-,-,enthalten,included
,car.coverage.tow-damage,Schäden zwischen ziehendem und gezogenem Fahrzeug/Anhänger (ohne Impuls von Außen),tow damage,A.2.2.2.2,-,Ded-VK,bis zum Fahrzeugwert,up to the vehicle value,-,Ded-VK,bis zum Fahrzeugwert,up to the vehicle value,,nein,-,Ded-VK,bis zum Fahrzeugwert,up to the vehicle value
General Features,car.coverage.service-hotline.yes,Service-Hotline,service hotline,not in T&Cs,-,-,enthalten  ,included  ,-,-,enthalten,included  ,,ja (zusammen definieren),-,-,enthalten,included  
,car.coverage.24-hrs-claims-hotline.yes,24-Stunden Schadenhotline,24-hrs claims hotline,not in T&Cs,-,-,enthalten  ,included  ,-,-,enthalten,included  ,,,-,-,enthalten,included  
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Include basic coverages in standard product,,,,,,,,,,,,,,,,,
,Include advanced coverages in optional add-on,,,,,,,,,,,,,,,,,
